# theta_low theta_high x_low x_high theta_center x_center ratio_integral err_integral ratio_width err_width
0.000000 6.000000 58.500000 75.500000 3.000000 67.000000 1.014298 0.000445 0.984515 0.000118
0.000000 6.000000 75.500000 84.000000 3.000000 79.750000 1.009411 0.000518 0.983889 0.000142
0.000000 6.000000 84.000000 92.500000 3.000000 88.250000 1.001250 0.000512 0.984672 0.000135
0.000000 6.000000 92.500000 101.000000 3.000000 96.750000 0.999891 0.000512 0.984918 0.000138
0.000000 6.000000 101.000000 109.500000 3.000000 105.250000 1.017319 0.000525 0.985939 0.000146
0.000000 6.000000 109.500000 118.000000 3.000000 113.750000 1.010035 0.000506 0.986830 0.000142
0.000000 6.000000 118.000000 126.500000 3.000000 122.250000 1.006165 0.000506 0.985325 0.000141
0.000000 6.000000 126.500000 135.000000 3.000000 130.750000 1.014081 0.000530 0.986770 0.000146
0.000000 6.000000 135.000000 143.500000 3.000000 139.250000 1.036930 0.000528 0.988687 0.000150
0.000000 6.000000 143.500000 152.000000 3.000000 147.750000 1.044638 0.000535 0.986358 0.000156
0.000000 6.000000 152.000000 160.500000 3.000000 156.250000 1.032831 0.000534 0.985860 0.000146
0.000000 6.000000 160.500000 169.000000 3.000000 164.750000 1.035634 0.000535 0.988634 0.000153
0.000000 6.000000 169.000000 177.500000 3.000000 173.250000 1.030412 0.000521 0.990590 0.000157
0.000000 6.000000 177.500000 186.000000 3.000000 181.750000 1.024870 0.000540 0.988398 0.000152
0.000000 6.000000 186.000000 194.500000 3.000000 190.250000 0.999994 0.000538 0.987439 0.000152
0.000000 6.000000 194.500000 203.000000 3.000000 198.750000 1.017418 0.000551 0.986322 0.000154
0.000000 6.000000 203.000000 220.000000 3.000000 211.500000 1.027154 0.000575 0.990207 0.000165
6.000000 12.000000 58.500000 75.500000 9.000000 67.000000 1.013583 0.000385 0.992178 0.000102
6.000000 12.000000 75.500000 84.000000 9.000000 79.750000 1.010014 0.000455 0.994414 0.000123
6.000000 12.000000 84.000000 92.500000 9.000000 88.250000 1.018375 0.000459 0.993881 0.000126
6.000000 12.000000 92.500000 101.000000 9.000000 96.750000 1.019912 0.000461 0.994010 0.000125
6.000000 12.000000 101.000000 109.500000 9.000000 105.250000 1.022918 0.000463 0.993801 0.000128
6.000000 12.000000 109.500000 118.000000 9.000000 113.750000 1.010898 0.000461 0.994566 0.000128
6.000000 12.000000 118.000000 126.500000 9.000000 122.250000 1.011989 0.000464 0.993579 0.000130
6.000000 12.000000 126.500000 135.000000 9.000000 130.750000 1.009486 0.000461 0.993319 0.000131
6.000000 12.000000 135.000000 143.500000 9.000000 139.250000 1.014235 0.000457 0.994646 0.000132
6.000000 12.000000 143.500000 152.000000 9.000000 147.750000 1.013792 0.000447 0.994974 0.000134
6.000000 12.000000 152.000000 160.500000 9.000000 156.250000 1.023712 0.000449 0.995815 0.000135
6.000000 12.000000 160.500000 169.000000 9.000000 164.750000 1.011210 0.000450 0.997428 0.000140
6.000000 12.000000 169.000000 177.500000 9.000000 173.250000 1.014652 0.000450 0.996978 0.000139
6.000000 12.000000 177.500000 186.000000 9.000000 181.750000 1.019032 0.000457 0.995357 0.000139
6.000000 12.000000 186.000000 194.500000 9.000000 190.250000 1.019284 0.000453 0.997575 0.000140
6.000000 12.000000 194.500000 203.000000 9.000000 198.750000 1.023088 0.000444 0.998227 0.000141
6.000000 12.000000 203.000000 220.000000 9.000000 211.500000 1.018807 0.000492 0.998122 0.000153
12.000000 18.000000 58.500000 75.500000 15.000000 67.000000 1.025351 0.000368 0.996605 0.000099
12.000000 18.000000 75.500000 84.000000 15.000000 79.750000 1.018284 0.000445 0.999451 0.000120
12.000000 18.000000 84.000000 92.500000 15.000000 88.250000 1.028215 0.000451 1.000394 0.000122
12.000000 18.000000 92.500000 101.000000 15.000000 96.750000 1.031682 0.000462 1.001221 0.000126
12.000000 18.000000 101.000000 109.500000 15.000000 105.250000 1.039705 0.000466 1.000265 0.000126
12.000000 18.000000 109.500000 118.000000 15.000000 113.750000 1.027081 0.000476 1.001310 0.000132
12.000000 18.000000 118.000000 126.500000 15.000000 122.250000 1.029397 0.000472 0.999976 0.000130
12.000000 18.000000 126.500000 135.000000 15.000000 130.750000 1.038932 0.000475 1.001154 0.000132
12.000000 18.000000 135.000000 143.500000 15.000000 139.250000 1.036187 0.000473 1.001473 0.000133
12.000000 18.000000 143.500000 152.000000 15.000000 147.750000 1.026724 0.000478 1.001124 0.000134
12.000000 18.000000 152.000000 160.500000 15.000000 156.250000 1.025282 0.000464 1.002032 0.000135
12.000000 18.000000 160.500000 169.000000 15.000000 164.750000 1.031222 0.000465 1.002490 0.000136
12.000000 18.000000 169.000000 177.500000 15.000000 173.250000 1.025967 0.000472 1.002934 0.000138
12.000000 18.000000 177.500000 186.000000 15.000000 181.750000 1.023054 0.000473 1.002421 0.000141
